Species,Region,Pollution_Level,Illegal_Wildlife_Trade_Rate,Food_Availability,Human_Population_Density,Species_Reproduction_Rate,Climate_Change_Impact,Protected_Area_Presence,Invasive_Species_Presence,Extinction_Risk
Galapagos Penguin,South Asia,69.57,64.39,4.86,17.67,1.74,36.37,1,1,0
Kakapo,Europe,69.0,54.05,7.21,22.81,2.29,67.79,1,1,1
Saola,East Asia,67.65,36.25,33.66,66.68,2.0,89.92,0,0,1
Javan Rhino,Oceania,75.42,71.09,10.1,42.03,1.81,69.47,0,0,1
Blue Whale,North America,67.95,46.19,53.27,12.14,2.02,70.14,1,1,0
Galapagos Penguin,Southeast Asia,92.08,44.08,9.15,9.17,2.01,68.78,1,0,0
Pangolin,Middle East,62.72,13.22,40.04,82.47,2.22,76.95,1,1,0
Saola,Europe,72.12,58.25,33.93,17.3,1.44,80.85,0,0,1
Red Panda,Europe,61.82,51.31,52.79,68.06,1.96,53.24,1,1,0
Axolotl,Central Asia,81.5,51.3,7.72,26.69,2.04,72.3,0,1,1
Snow Leopard,North America,83.34,44.76,11.11,15.42,1.52,73.71,1,1,0
Giant Panda,Sub-Saharan Africa,98.77,42.52,4.51,16.5,1.52,76.53,0,0,1
Blue Whale,South Asia,41.18,45.2,19.38,27.71,1.87,76.09,1,0,0
African Elephant,Oceania,59.5,56.02,4.09,3.1,2.0,84.31,1,0,0
Amur Leopard,South America,30.48,58.31,14.98,15.88,2.0,86.65,1,1,1
Kakapo,South Asia,62.46,47.0,25.55,103.11,1.81,96.24,1,0,0
Kakapo,South America,33.51,62.34,13.31,123.79,1.79,72.42,1,0,0
Saola,Oceania,49.09,48.97,3.26,17.36,1.86,84.07,1,0,0
Sumatran Tiger,East Asia,79.35,43.45,17.7,49.0,2.1,67.07,1,0,0
Axolotl,South Asia,57.68,52.58,26.46,41.18,2.44,72.07,1,0,0
Bengal Tiger,Sub-Saharan Africa,62.76,32.33,11.82,10.5,1.22,62.82,0,0,0
Galapagos Penguin,South America,34.36,53.03,19.95,49.6,2.22,89.42,0,0,0
Axolotl,Middle East,90.76,29.95,9.93,22.38,1.96,93.55,1,0,0
Iberian Lynx,East Asia,63.68,36.64,44.74,32.17,2.18,82.18,0,0,0
Axolotl,Sub-Saharan Africa,62.09,23.76,28.24,56.81,2.41,78.35,1,0,0
Pangolin,South Asia,78.06,47.72,68.42,23.64,1.74,38.83,0,0,0
African Elephant,Oceania,43.34,70.93,44.99,23.42,2.33,87.56,1,1,0
Pangolin,Oceania,35.66,48.48,12.39,45.77,1.56,64.13,1,1,0
Galapagos Penguin,South Asia,83.58,58.37,9.28,69.46,2.04,95.95,1,1,0
Orangutan,Sub-Saharan Africa,72.14,80.58,72.97,43.91,1.92,66.47,0,1,0
Iberian Lynx,East Asia,74.7,55.25,23.46,24.37,2.02,79.24,1,0,0
Snow Leopard,East Asia,87.17,40.05,30.59,64.44,1.65,86.31,0,0,1
Black Rhino,Southeast Asia,98.21,41.84,49.39,39.95,2.15,87.55,1,0,0
Amur Leopard,North America,91.04,50.01,56.64,79.84,2.56,92.67,0,0,1
Hellbender Salamander,South Asia,89.52,41.77,18.66,94.55,1.66,69.77,1,0,0
Hawksbill Turtle,East Asia,96.33,42.74,14.92,43.39,2.07,79.62,0,1,1
Blue Whale,Middle East,83.14,62.81,39.87,76.01,2.3,71.23,1,1,0
Amur Leopard,Southeast Asia,86.84,63.34,3.09,77.57,1.9,50.88,1,1,1
Hellbender Salamander,Sub-Saharan Africa,75.8,28.59,24.48,28.92,2.48,89.93,0,0,0
Sumatran Tiger,Southeast Asia,85.74,39.36,23.93,77.56,1.85,97.01,1,0,1
Snow Leopard,South America,80.29,43.97,41.66,33.33,1.96,92.86,0,0,0
Hawksbill Turtle,North America,49.17,57.79,20.53,53.05,1.65,85.45,1,0,0
Asian Elephant,East Asia,57.61,64.86,30.22,30.82,2.04,54.15,1,0,0
Bengal Tiger,Middle East,59.36,85.13,27.28,7.64,2.0,57.25,0,1,1
Sumatran Tiger,Central Asia,53.66,43.95,11.72,113.07,2.22,81.78,0,0,1
Orangutan,Southeast Asia,76.96,44.6,14.42,51.55,1.78,91.54,0,0,0
Whooping Crane,North America,82.6,57.65,31.28,54.84,1.76,81.28,1,0,1
Orangutan,Middle East,58.54,41.13,62.93,35.85,2.16,93.42,1,0,1
Amur Leopard,South Asia,63.75,48.17,20.65,77.18,2.49,51.93,1,1,0
Kakapo,Europe,94.31,44.6,13.76,28.4,2.22,65.36,1,0,1
Giant Panda,Central Asia,55.22,15.92,33.07,29.92,2.65,82.49,0,1,0
Pangolin,Oceania,76.98,51.6,11.85,12.28,2.19,65.89,1,1,0
Red Panda,Oceania,54.13,47.63,30.6,38.7,2.18,64.29,1,0,0
Galapagos Penguin,Europe,63.67,66.53,25.94,74.5,2.24,91.63,1,0,1
Hellbender Salamander,Middle East,65.03,50.07,43.61,28.68,2.52,47.61,1,1,0
Kakapo,South Asia,80.7,33.69,12.13,10.72,2.43,85.04,1,0,0
Amur Leopard,Southeast Asia,64.13,46.64,20.81,64.02,1.62,78.69,1,0,0
Amur Leopard,Oceania,63.46,22.82,54.89,46.09,2.28,84.33,0,0,0
Amur Leopard,East Asia,87.3,34.26,59.46,104.25,2.09,96.59,0,0,1
Asian Elephant,South America,73.76,58.26,9.76,16.52,1.93,86.62,1,1,0
Black Rhino,Sub-Saharan Africa,65.31,46.78,32.16,51.69,1.38,94.54,0,0,0
Mountain Gorilla,Sub-Saharan Africa,75.0,61.99,74.7,10.27,1.46,69.72,0,1,0
Black Rhino,Middle East,86.45,24.43,57.81,31.5,1.87,78.98,1,1,1
Snow Leopard,Oceania,67.13,46.85,35.27,36.31,1.49,88.13,1,1,0
African Elephant,Sub-Saharan Africa,78.24,43.82,24.02,6.77,1.88,67.86,1,1,0
African Elephant,Oceania,90.25,62.43,26.56,70.78,2.25,87.34,0,1,1
Galapagos Penguin,Oceania,73.27,58.75,1.81,57.82,1.8,68.44,1,0,0
Sea Otter,Sub-Saharan Africa,85.53,58.35,8.21,46.08,2.03,75.77,0,0,1
Javan Rhino,South Asia,81.45,70.04,44.21,10.95,1.63,83.77,1,1,1
Saola,Central Asia,96.44,45.21,15.85,17.99,2.1,95.99,0,0,1
Javan Rhino,Southeast Asia,56.46,67.36,18.31,62.62,2.18,71.62,0,0,1
Mountain Gorilla,South America,83.41,36.43,11.94,31.26,1.5,89.21,0,1,1
Whooping Crane,Oceania,92.81,35.95,6.37,26.54,1.74,67.5,0,1,1
Red Panda,Southeast Asia,70.75,59.79,7.05,75.96,1.56,67.27,0,1,0
California Condor,Southeast Asia,76.38,30.44,26.77,35.31,2.18,62.59,1,1,0
Giant Panda,Oceania,88.69,57.45,31.85,11.89,2.06,83.08,0,0,1
Red Panda,Middle East,71.84,51.32,8.24,62.08,1.98,86.83,0,1,1
Javan Rhino,Sub-Saharan Africa,62.18,63.93,32.96,10.45,1.96,95.24,0,1,0
Red Panda,South Asia,76.35,49.23,73.57,31.47,2.11,45.26,1,1,1
Saola,South America,79.98,50.73,29.9,39.16,5.49,64.2,0,0,1
Mountain Gorilla,East Asia,60.06,56.62,36.89,53.11,1.83,69.22,1,0,0
Vaquita,South Asia,63.26,41.39,23.12,8.19,1.78,76.75,1,0,0
Hawksbill Turtle,Sub-Saharan Africa,87.14,40.82,31.13,2.43,1.98,72.88,1,1,1
Orangutan,East Asia,90.03,56.17,31.09,2.58,1.93,82.27,0,0,1
Javan Rhino,South Asia,84.67,49.62,14.15,82.58,2.72,80.02,1,0,1
Iberian Lynx,South Asia,51.29,44.7,28.24,6.79,1.87,79.73,0,1,0
Iberian Lynx,South Asia,90.85,48.92,23.58,97.26,2.1,65.2,0,1,1
Vaquita,Europe,77.71,70.73,8.1,66.82,2.16,40.79,1,1,1
California Condor,South America,84.22,44.24,51.33,13.97,2.49,63.25,0,1,1
African Elephant,Central Asia,62.95,43.86,0.94,3.81,1.72,83.71,0,1,0
Black Rhino,North America,84.72,27.8,15.15,33.36,2.47,85.33,1,1,1
African Elephant,Sub-Saharan Africa,69.31,49.45,25.19,20.5,1.95,73.01,0,1,0
Black Rhino,East Asia,66.24,58.54,23.88,76.83,2.88,62.67,1,1,1
Hellbender Salamander,South America,34.05,60.87,3.8,38.86,2.13,83.54,0,0,0
Vaquita,East Asia,67.05,51.41,9.42,31.75,1.57,41.87,1,0,0
Whooping Crane,Oceania,83.06,62.43,34.79,26.66,1.93,87.1,1,1,1
Red Panda,East Asia,86.17,59.51,21.97,53.01,2.47,93.1,0,0,1
Javan Rhino,Sub-Saharan Africa,54.78,64.47,33.72,29.51,2.03,84.21,1,0,0
Saola,North America,81.12,62.8,73.67,110.45,1.98,47.41,1,1,0
Blue Whale,Central Asia,78.18,70.41,23.21,6.52,2.25,87.65,1,1,1
Galapagos Penguin,Sub-Saharan Africa,69.51,47.79,16.4,24.39,1.88,87.35,0,0,1
Hellbender Salamander,Central Asia,80.37,32.75,22.87,47.66,1.93,80.88,0,0,0
Blue Whale,South America,64.21,58.63,24.18,43.19,1.67,78.0,0,1,1
Galapagos Penguin,South America,95.05,60.15,30.68,110.24,2.61,57.95,0,0,1
Blue Whale,Oceania,69.14,70.41,22.97,16.79,1.57,95.47,1,0,0
Javan Rhino,Middle East,79.1,66.66,65.54,1.02,2.06,75.94,1,1,0
Galapagos Penguin,Central Asia,83.44,75.29,19.55,63.24,2.17,73.12,0,1,1
Saola,Oceania,84.2,58.06,76.87,37.49,2.0,75.89,1,0,0
Sea Otter,Europe,34.77,52.97,24.33,63.63,1.56,66.1,0,1,0
Blue Whale,Middle East,91.58,32.0,9.69,41.65,1.65,80.34,1,0,1
Bengal Tiger,East Asia,71.87,54.01,9.19,1.96,2.18,64.19,0,0,0
African Elephant,South America,40.54,42.82,32.39,43.64,1.73,73.7,1,1,0
Saola,South America,80.43,52.75,12.98,16.68,1.27,75.24,1,0,0
Whooping Crane,Central Asia,89.43,50.71,44.88,24.41,2.14,72.93,1,1,0
Giant Panda,Europe,67.66,56.13,8.94,28.72,1.69,83.16,0,1,0
Saola,Oceania,73.6,48.73,4.73,10.44,2.22,93.25,0,0,1
Javan Rhino,South America,75.94,62.16,5.66,16.17,1.93,86.44,0,1,1
Hawksbill Turtle,Europe,32.8,14.6,49.12,55.63,1.91,97.4,1,1,0
Sea Otter,Europe,56.78,52.47,5.42,55.57,2.02,48.82,0,1,0
Orangutan,Europe,68.02,65.63,41.0,5.69,1.6,72.37,1,1,0
Asian Elephant,East Asia,54.25,74.31,34.05,37.8,1.71,76.68,1,1,0
Axolotl,Middle East,95.39,59.52,50.47,60.02,1.91,85.12,0,0,1
Pangolin,Middle East,88.16,71.9,48.75,34.92,1.6,91.95,0,0,1
Mountain Gorilla,Oceania,76.92,52.2,14.0,39.48,2.25,61.5,0,0,1
Saola,Europe,80.45,50.04,31.51,6.2,1.89,63.07,1,1,0
Sumatran Tiger,Middle East,91.95,56.88,35.96,74.81,1.49,88.16,0,1,1
Snow Leopard,Southeast Asia,74.69,49.96,51.14,11.4,1.8,66.78,1,0,0
Sea Otter,Southeast Asia,80.44,39.83,1.92,23.37,2.04,90.39,1,1,0
Red Panda,Oceania,79.79,43.3,8.2,60.42,1.84,96.42,1,1,1
Javan Rhino,Oceania,80.35,35.54,13.14,93.32,2.14,60.52,0,0,1
Kakapo,Middle East,82.25,56.87,21.74,25.01,2.2,68.46,0,0,1
Amur Leopard,Southeast Asia,51.14,50.15,59.69,128.93,2.84,49.34,0,1,0
Orangutan,East Asia,61.15,45.32,34.58,35.88,2.4,66.03,1,1,0
Iberian Lynx,Oceania,78.51,42.63,18.87,32.82,1.43,52.91,0,1,1
Giant Panda,Europe,78.6,56.57,31.03,13.08,1.87,78.68,0,1,1
Axolotl,Sub-Saharan Africa,55.49,60.15,34.57,23.8,1.91,76.72,1,1,0
African Elephant,East Asia,76.38,35.3,26.21,38.32,2.2,48.99,0,0,1
Kakapo,North America,64.59,33.26,41.69,48.12,1.67,89.64,0,1,1
Iberian Lynx,Sub-Saharan Africa,57.89,62.41,15.66,46.49,1.81,83.44,1,1,1
African Elephant,Oceania,91.24,32.12,43.54,21.72,1.56,95.14,0,1,0
Sea Otter,Middle East,69.12,57.12,4.78,82.07,1.79,74.96,0,1,1
Amur Leopard,Southeast Asia,57.85,71.02,16.25,33.67,1.8,83.16,0,0,1
Galapagos Penguin,Sub-Saharan Africa,90.84,71.05,68.32,31.98,1.89,71.18,0,1,1
Bengal Tiger,South Asia,51.33,59.59,45.56,12.22,1.58,77.47,0,1,1
Mountain Gorilla,East Asia,80.93,59.21,47.7,51.74,2.34,77.26,0,1,0
Red Panda,Southeast Asia,83.01,79.27,35.65,30.55,2.17,94.8,1,1,1
Mountain Gorilla,North America,53.31,19.65,41.72,25.29,1.49,88.5,0,0,1
Black Rhino,Southeast Asia,96.67,43.96,25.91,8.73,2.01,81.95,0,1,0
Kakapo,South Asia,77.76,61.03,39.14,9.12,1.45,66.47,0,0,1
Giant Panda,Oceania,93.79,45.62,26.28,41.41,2.47,71.4,1,1,1
Kakapo,Central Asia,55.06,66.12,29.61,90.44,2.56,91.18,0,1,1
African Elephant,Middle East,64.22,49.49,46.67,26.92,1.98,90.55,1,0,0
Mountain Gorilla,East Asia,78.41,51.71,45.47,26.78,1.7,70.91,1,0,0
Axolotl,Sub-Saharan Africa,79.64,46.43,24.11,52.21,1.77,75.29,0,0,1
Galapagos Penguin,South Asia,85.6,43.21,6.49,72.94,1.84,76.88,0,1,1
Mountain Gorilla,South America,58.64,42.89,66.79,20.02,1.96,57.61,1,1,0
Orangutan,Middle East,93.91,53.53,3.5,12.41,2.48,89.03,0,0,1
California Condor,Central Asia,67.66,39.93,52.26,29.9,2.33,72.3,1,0,0
Hellbender Salamander,Central Asia,65.58,62.39,17.3,46.01,2.34,78.75,1,0,0
Axolotl,Sub-Saharan Africa,98.76,58.49,23.61,2.6,2.06,85.49,1,0,0
Saola,Sub-Saharan Africa,65.82,64.29,16.76,22.48,1.6,59.75,1,1,0
Black Rhino,Central Asia,77.83,35.32,29.31,27.53,1.73,84.34,0,1,0
Iberian Lynx,Southeast Asia,52.24,27.91,13.96,24.66,2.02,96.87,1,0,0
Axolotl,Oceania,80.33,49.95,14.06,7.87,1.58,52.17,0,0,0
Orangutan,South Asia,66.46,87.68,31.86,22.55,2.11,75.13,0,1,1
Snow Leopard,South Asia,17.41,66.46,26.73,27.89,2.28,87.83,0,1,0
Giant Panda,East Asia,45.32,42.79,12.17,14.4,2.19,70.07,0,0,0
California Condor,Central Asia,67.25,55.52,40.03,38.54,2.18,35.77,0,0,0
Amur Leopard,Sub-Saharan Africa,60.53,59.46,40.11,57.84,1.35,77.94,0,0,1
Red Panda,Central Asia,83.56,32.21,13.19,59.33,2.47,95.16,0,1,0
Saola,Europe,36.58,67.81,19.83,17.7,1.45,75.31,1,1,0
Galapagos Penguin,South Asia,90.93,47.82,35.95,45.36,1.95,80.2,1,0,0
Bengal Tiger,Middle East,75.87,48.82,29.64,42.6,2.22,56.43,1,1,1
African Elephant,Middle East,58.79,50.31,13.62,104.22,2.13,80.75,0,1,1
Blue Whale,Middle East,81.69,64.88,1.64,45.53,4.5,58.47,0,1,0
Red Panda,Sub-Saharan Africa,85.36,40.18,23.06,47.56,1.62,54.85,1,1,1
Kakapo,Central Asia,69.07,27.81,12.77,66.2,2.1,60.1,0,1,1
Red Panda,Middle East,89.93,54.2,32.49,10.02,2.18,92.0,0,0,1
Saola,Middle East,64.45,23.43,35.58,32.99,1.61,48.42,0,0,1
California Condor,North America,63.59,46.09,63.71,94.31,2.14,29.91,0,1,1
Mountain Gorilla,Oceania,93.3,65.43,8.13,95.62,1.47,66.85,0,1,1
Axolotl,Middle East,90.22,57.53,25.64,22.54,2.22,79.85,1,0,1
Pangolin,Oceania,94.6,63.55,6.08,92.58,1.69,91.02,0,1,1
Saola,Europe,52.04,58.06,10.13,25.38,2.03,57.66,0,0,0
Asian Elephant,Oceania,83.76,81.33,70.0,39.59,1.97,87.0,1,1,1
Blue Whale,South America,82.62,42.35,47.53,6.56,2.41,73.84,1,1,1
California Condor,South Asia,62.25,55.18,4.17,79.5,2.08,89.9,0,0,1
Black Rhino,East Asia,65.57,44.3,39.33,24.37,1.79,85.93,0,1,1
Pangolin,South Asia,52.99,62.44,24.07,8.15,2.13,47.88,0,1,0
Pangolin,East Asia,73.47,49.2,39.94,28.44,2.75,96.14,1,1,1
Sumatran Tiger,Europe,78.95,72.34,26.79,1.69,2.26,60.07,1,1,1
Amur Leopard,East Asia,74.83,43.1,7.42,50.59,1.98,90.89,0,1,1
Orangutan,East Asia,74.97,68.29,35.03,69.65,1.71,71.17,0,0,1
Snow Leopard,East Asia,58.01,57.71,30.22,12.78,1.78,82.43,0,1,1
Vaquita,Europe,65.06,49.58,26.96,12.34,2.24,68.89,1,0,1
Asian Elephant,Sub-Saharan Africa,69.89,57.05,18.49,47.98,1.69,92.69,0,0,1
Snow Leopard,Europe,67.46,53.4,17.77,52.25,2.0,78.5,0,1,1
Whooping Crane,South Asia,75.11,54.63,28.18,18.43,2.5,59.34,1,0,0
Pangolin,Southeast Asia,87.69,47.31,10.09,14.47,2.05,79.22,1,1,1
Giant Panda,Sub-Saharan Africa,64.1,40.88,12.27,61.28,1.62,82.74,1,1,0
Orangutan,South Asia,91.47,45.64,22.09,7.31,2.76,84.32,0,1,1
Pangolin,Europe,92.35,28.12,9.44,21.51,2.62,49.77,1,0,0
Orangutan,Europe,56.3,60.95,14.01,14.13,2.18,69.54,0,0,0
African Elephant,East Asia,47.7,33.94,38.56,47.45,2.45,72.33,0,1,0
Kakapo,Central Asia,79.95,47.17,21.82,15.17,1.91,71.91,1,0,0
Kakapo,Europe,73.3,58.42,27.59,67.06,2.25,52.45,1,1,1
African Elephant,Central Asia,84.89,60.91,84.81,20.83,1.85,86.21,1,1,1
Orangutan,Southeast Asia,80.95,26.93,31.41,41.45,1.53,76.22,1,1,0
Blue Whale,South America,85.78,48.81,20.78,15.44,2.91,62.74,0,0,0
Kakapo,Sub-Saharan Africa,73.01,55.98,44.49,35.8,1.51,75.82,1,0,1
Sea Otter,North America,81.44,50.68,33.54,17.24,2.1,75.97,0,1,0
Sea Otter,North America,56.15,67.47,38.27,11.68,2.1,58.82,0,1,1
California Condor,Sub-Saharan Africa,70.46,39.32,18.68,52.04,2.18,78.06,0,1,1
